tour_title,slug,route,destination,category,entity_topic,primary_keyword,primary_volume,primary_kd,primary_intent,secondary_keywords,long_tail_keywords,aeo_questions,entities,reserved_keywords,cannibalization_notes,parent_destination,parent_category,internal_link_targets,opportunity_flags,priority_tier,data_confidence
Wycieczka z Hurghady do Kairu,kair-piramidy-muzeum-egipskie,/wycieczki-z-hurghady/kair-piramidy-muzeum-egipskie,hurghada,kair,Kair/Giza (autokar),wycieczki z hurghady do kairu,260,3,Informational (commercial-nav),wycieczka do kairu z hurghady 170/3 | wycieczka z hurghady do kairu cena 90/2 | wycieczki z hurghady do piramid 260/1 | wycieczka na piramidy z hurghady 90/0 | z hurghady do kairu 30/0,koszt wycieczki z hurghady do piramid 210/0 | hurghada kair odległość 590/3 (info) | wycieczka do kairu z hurghady,Ile kosztuje wycieczka z Hurghady do Kairu? | Ile trwa wyjazd do Kairu z Hurghady? | Skąd jest odbiór? | Czy jest polski przewodnik? | Czy trzeba płacić z góry?,Hurghada | Kair | Giza | Muzeum Egipskie | Sfinks | piramidy,wycieczka do kairu 320/7 (Kair hub) | kair piramidy 720/10 (hub/info) | piramidy w egipcie 1900/23 (future info guide),"Multi-resort Cairo entity (also Marsa #40, Sharm #60): separated by departure modifier",/wycieczki-z-hurghady/,/wycieczki/kair-i-piramidy/,Kair hub; Hurghada hub; super-kair-piramidy-rejs-po-nilu; kair-wielkie-muzeum-gem,MULTI_RESORT_ENTITY | STRONG_TRANSACTIONAL_INTENT,NEXT_20,High (CSV-backed departure cluster)
Wycieczka z Hurghady do Kairu z Wielkim Muzeum GEM,kair-wielkie-muzeum-gem,/wycieczki-z-hurghady/kair-wielkie-muzeum-gem,hurghada,kair,GEM / Grand Egyptian Museum,kair gem z hurghady,N/A,N/A,Commercial (semantic),grand egyptian museum z hurghady N/A | wycieczka do kairu i gem z hurghady N/A,nowe muzeum w kairze 390/21 (info) | muzeum egipskie w kairze 880/21 (info),Co obejmuje wycieczka do GEM z Hurghady? | Czym różni się od zwykłego Kairu? | Ile kosztuje? | Ile trwa?,Hurghada | Kair | GEM | Grand Egyptian Museum | piramidy | Giza,wycieczka do kairu 320/7 (Kair hub) | muzeum egipskie w kairze 880/21 (future info),Cairo variant vs standard Cairo #1: differentiate on GEM entity (no exact CSV volume for GEM),/wycieczki-z-hurghady/,/wycieczki/kair-i-piramidy/,Kair hub; Hurghada hub; kair-piramidy-muzeum-egipskie,NO_SEMRUSH_CLUSTER | NEEDS_INFORMATIONAL_SUPPORT,REMAINDER,Low (GEM has no exact CSV term)
"Super Kair z Hurghady - piramidy, muzeum i Nil",super-kair-piramidy-rejs-po-nilu,/wycieczki-z-hurghady/super-kair-piramidy-rejs-po-nilu,hurghada,kair,Kair + rejs po Nilu,rejs po nilu kair i wielkie piramidy,480,6,Informational,super kair z hurghady N/A | kair piramidy rejs po nilu N/A,rejs po nilu kair i wielkie piramidy 480/6,Co obejmuje Super Kair? | Czy jest rejs po Nilu w cenie? | Ile trwa? | Ile kosztuje?,Hurghada | Kair | Nil | rejs po Nilu | piramidy | Muzeum Egipskie,wycieczka do kairu 320/7 (Kair hub) | kair piramidy 720/10 (hub/info),Differentiate from #1/#2 by 'Super' + Nile cruise inclusion,/wycieczki-z-hurghady/,/wycieczki/kair-i-piramidy/,Kair hub; Hurghada hub; kair-piramidy-muzeum-egipskie,CONTENT_GAP | STRONG_TRANSACTIONAL_INTENT,NEXT_20,"Medium (one strong CSV term, info intent)"
Wycieczka z Hurghady do Kairu samolotem,kair-samolotem,/wycieczki-z-hurghady/kair-samolotem,hurghada,kair,Kair samolotem,wycieczka do kairu samolotem z hurghady,N/A,N/A,Commercial (semantic),kair samolotem z hurghady N/A | lot do kairu z hurghady N/A,wycieczka do kairu z hurghady 170/3 (parent concept),Ile kosztuje Kair samolotem z Hurghady? | Ile trwa lot? | Czy to jednodniowa wycieczka? | Co obejmuje cena?,Hurghada | Kair | samolot | lot | piramidy | Muzeum Egipskie,wycieczka do kairu 320/7 (Kair hub),"Multi-resort plane-Cairo (also Marsa #42, Sharm #61/#77): premium fast variant, differentiate by 'samolotem'",/wycieczki-z-hurghady/,/wycieczki/kair-i-piramidy/,Kair hub; Hurghada hub; kair-piramidy-muzeum-egipskie,NO_SEMRUSH_CLUSTER | MULTI_RESORT_ENTITY,REMAINDER,Low (no exact CSV term)
Prywatna wycieczka do Kairu z Hurghady,prywatna-wycieczka-do-kairu,/wycieczki-z-hurghady/prywatna-wycieczka-do-kairu,hurghada,prywatne,Prywatny Kair,prywatna wycieczka do kairu z hurghady,N/A,N/A,Commercial (semantic),prywatny kair z hurghady N/A | kair prywatnie z hurghady N/A,wycieczka do kairu z hurghady 170/3 (parent concept),Ile kosztuje prywatna wycieczka do Kairu? | Dla ilu osób? | Czy własny przewodnik i kierowca? | Ile trwa?,Hurghada | Kair | prywatna wycieczka | piramidy | GEM,wycieczka do kairu 320/7 (Kair hub) | wycieczki prywatne (Prywatne hub),Private-intent Cairo (also Marsa #43): differentiate by 'prywatna',/wycieczki-z-hurghady/,/wycieczki/wycieczki-prywatne/,Prywatne hub; Kair hub; Hurghada hub; kair-piramidy-muzeum-egipskie,NO_SEMRUSH_CLUSTER,REMAINDER,Low (no exact CSV term; conversion page)
Wycieczka do Luksoru z Hurghady,luksor-dolina-krolow,/wycieczki-z-hurghady/luksor-dolina-krolow,hurghada,luksor,Luksor / Dolina Królów,wycieczka z hurghady do luksoru,140,0,Informational,ile kosztuje wycieczka z hurghady do luksoru 140/3 | hurghada luksor 170/10 | hurghada luksor odległość 210/10 (info),wycieczka do luksoru z hurghady | hurghada luxor 170/5,Ile kosztuje wycieczka z Hurghady do Luksoru? | Ile trwa? | Czy zwiedza się Dolinę Królów? | Skąd jest odbiór?,Hurghada | Luksor | Dolina Królów | Karnak | Hatszepsut | Nil,wycieczka do luksoru 110/5 (Luksor hub) | dolina królów 5400/23 (future info guide),Multi-resort Luxor (also Marsa #44): departure-separated. KD0 - very low difficulty,/wycieczki-z-hurghady/,/wycieczki/luksor/,Luksor hub; Hurghada hub; prywatna-wycieczka-luksor-dendera,LOW_KD_OPPORTUNITY | MULTI_RESORT_ENTITY,NEXT_20,"High (CSV departure cluster, KD0-3)"
Prywatna wycieczka do Luksoru i Dendery,prywatna-wycieczka-luksor-dendera,/wycieczki-z-hurghady/prywatna-wycieczka-luksor-dendera,hurghada,prywatne,Luksor + Dendera (prywatnie),prywatna wycieczka do luksoru i dendery z hurghady,N/A,N/A,Commercial (semantic),luksor dendera prywatnie N/A | prywatny luksor z hurghady N/A,wycieczka z hurghady do luksoru 140/0 (parent concept),Co obejmuje prywatny Luksor i Dendera? | Ile kosztuje? | Dla ilu osób? | Ile trwa?,Hurghada | Luksor | Dendera | Świątynia Hathor | Dolina Królów | prywatna wycieczka,wycieczka do luksoru 110/5 (Luksor hub) | dolina królów 5400/23 (future info),Private Luxor+Dendera (also Marsa #45): 'Dendera' has no CSV term,/wycieczki-z-hurghady/,/wycieczki/wycieczki-prywatne/,Prywatne hub; Luksor hub; Hurghada hub; luksor-dolina-krolow,NO_SEMRUSH_CLUSTER,REMAINDER,Low (no exact CSV term)
Luksor z Hurghady z lotem balonem,luksor-lot-balonem,/wycieczki-z-hurghady/luksor-lot-balonem,hurghada,luksor,Luksor + balon,luksor lot balonem z hurghady,N/A,N/A,Commercial (semantic),lot balonem luksor N/A | balon nad luksorem N/A,wycieczka z hurghady do luksoru 140/0 (parent concept),Ile kosztuje lot balonem w Luksorze? | O której startuje balon? | Ile trwa cała wycieczka? | Czy bezpieczne dla dzieci?,Hurghada | Luksor | balon | lot balonem | Dolina Królów | Nil,wycieczka do luksoru 110/5 (Luksor hub),Balloon-upsell variant vs #6: 'lot balonem' has no CSV term,/wycieczki-z-hurghady/,/wycieczki/luksor/,Luksor hub; Hurghada hub; luksor-dolina-krolow; luksor-2-dni-lot-balonem,NO_SEMRUSH_CLUSTER | CONTENT_GAP,REMAINDER,Low (no exact CSV term)
Luksor z Hurghady - 2 dni z lotem balonem,luksor-2-dni-lot-balonem,/wycieczki-z-hurghady/luksor-2-dni-lot-balonem,hurghada,luksor,Luksor 2 dni + balon,luksor 2 dni z hurghady lot balonem,N/A,N/A,Commercial (semantic),luksor dwudniowa wycieczka N/A | luksor z noclegiem N/A,wycieczka z hurghady do luksoru 140/0 (parent concept),Co obejmuje 2-dniowy Luksor? | Gdzie nocleg? | Ile kosztuje? | Czy w cenie lot balonem?,Hurghada | Luksor | 2 dni | nocleg | balon | Dolina Królów,wycieczka do luksoru 110/5 (Luksor hub),2-day variant vs #6/#8: differentiate by duration/overnight,/wycieczki-z-hurghady/,/wycieczki/luksor/,Luksor hub; Hurghada hub; luksor-lot-balonem,NO_SEMRUSH_CLUSTER,REMAINDER,Low (no exact CSV term)
Orange Bay z Hurghady,orange-bay,/wycieczki-z-hurghady/orange-bay,hurghada,rejsy-wyspy,Orange Bay,orange bay,2400,9,Informational (commercial-nav),orange bay hurghada 480/7 | wyspa orange bay 390/6 | orange bay island 390/6 | orange bay egipt 260/6,hurghada orange bay | rejs orange bay N/A,Ile kosztuje Orange Bay z Hurghady? | Ile trwa rejs? | Czy jest lunch na wyspie? | Skąd odbiór? | Czy dla dzieci?,Hurghada | Orange Bay | Morze Czerwone | rejs | snorkeling | wyspa,"rejsy i wyspy (Rejsy hub - links, not primary)",Entity reserved to this page by hub map. Do NOT let Rejsy hub target 'orange bay',/wycieczki-z-hurghady/,/wycieczki/rejsy-i-wyspy/,Rejsy hub; Hurghada hub; wyspa-paradise; wyspa-mahmya,HIGH_VOLUME_ENTITY | LOW_KD_OPPORTUNITY | STRONG_TRANSACTIONAL_INTENT,TOP_10,"High (2400 vol, KD9, exact entity)"
